high arousal,low arousal,medium arousal,medium dominance,low dominance,high dominance,high valence,low valence,medium valence,examples,hedges,self references
frustrated,serendipity,deposition,baseball,dungeon,brilliant,charismatic,caution,apparent,,quite doubtful,
frustrating,serenity,depravity,baseline,earthquake,brotherhood,charitable,cavity,apparition,,rather doubtful,
frustration,service,depressed,basic,economy,buttocks,charity,celibate,appeal,,small likelihood,
fucker,shelter,depressive,basics,eerie,cash,charm,cellblock,appear,,small hope,
fugitive,sight,deprivation,basin,electrocution,celebration,charmer,cellmate,appearance,,somewhat doubtful,
furious,silken,deprive,basis,embarrass,championship,charming,cellulite,appease,,certain hope,
fury,simple,derelict,basket,embarrassed,cheer,check,cemetery,appendage,,chance for,
gambling,simplify,derogatory,batch,embarrassing,cheerful,checklist,censorship,appendix,,chance of,
gang,sky,desecrate,bathroom,embarrassment,cheery,cheer,cesspool,appetite,,some doubt,
gangrene,sled,desecration,beak,embezzler,christmas,cheerful,chaos,applejack,,assumedly,
gangster,smooth,deserter,bean,emergency,clever,cheery,chase,appliance,,most possibly,
genocide,soap,desolation,beard,enemy,cleverness,cheese,chauvinist,applicant,,quite certain,
germs,soft,despair,bearings,enslave,climax,cheeseburger,cheapskate,application,,very good hope,
ghetto,soften,despairing,bedside,entrapment,comedian,cheesecake,cheat,apply,,danger for,
goddamned,soothing,desperate,bedspread,epidemic,compensate,cherish,cheater,appoint,,danger of,
grenade,spectrum,despicable,beholden,evacuate,complement,cherry,chemo,appointment,,risk for,
gruesome,spirituality,despise,beige,evil,compliment,chic,chemotherapy,appraisal,,risk of,
guillotine,steady,destitute,belated,excruciating,concentrate,child,chicken pox,apprehend,,slim chance,
gun,stuffed animal,detached,bellboy,execution,congratulation,childbirth,chickenpox,apprehension,,some risk,
gunboat,sunflower,detain,bellman,executioner,congratulations,childhood,childless,apprentice,,some probability,
gunfight,sunroof,detention,bellyful,exile,courageous,children,chloroform,approach,,consistent,
gunfire,support,deteriorate,benefactor,exorcism,create,chimpanzee,choke,appropriate,,,
gunman,sympathetic,deterioration,benign,exorcist,creation,chipmunk,cholera,approximate,,,
gunplay,sympathy,detest,berth,exploit,creativity,chivalry,cholesterol,apricot,,,
gunpoint,syrup,detonation,bilateral,explosion,curiosity,chocolate,cigarette,apron,,,
gunshot,t-shirt,detriment,bin,exterminate,curious,choice,cirrhosis,apt,,,
hangover,tea,deviled,binary,fag,dance,christmas,citation,aptitude,,,
harass,teacher,devious,binder,faggot,dazzling,chuckle,claustrophobia,arbitrary,,,
harassment,teahouse,diabetes,binoculars,famine,delightful,cinema,claustrophobic,arbitration,,,
harm,teatime,diabetic,bio,fatal,desirable,cinnamon,clench,arcane,,,
harsh,tender,dialysis,biographer,fatality,determination,citizen,clingy,arch,,,
hate,tenderness,diaper,biography,fatso,discover,citizenship,clod,archaeological,,,
hateful,thoughtful,difficult,biologist,fear,discovery,citrus,clog,archaeologist,,,
hatred,tot,difficulty,bisque,fearful,eager,civilized,clot,archaeology,,,
hazard,tranquil,dim,bitsy,fearsome,edible,clarity,clueless,archaic,,,
hazardous,tree,dimwit,blacksmith,ferocious,elated,classical,clutter,archbishop,,,
hazmat,truce,dingy,bland,feverish,elope,classy,cocaine,archdiocese,,,
heart disease,understanding,dire,blank,fiend,embrace,clean,cockroach,archduke,,,
heartache,undisturbed,dirty,blink,fireball,emerald,cleanliness,cocksucker,archery,,,
heartbreak,unharmed,disability,blond,flood,encouragement,cleanse,cocky,architect,,,
heartbroken,unite,disable,blot,foreboding,energize,cleanser,coerce,architectural,,,
heinous,unselfish,disabled,blue spruce,foreclose,energy,cleansing,coercion,architecture,,,
hell,utmost,disadvantage,boar,foreclosure,engage,clearance,coffin,archive,,,
hellhole,veggie,disagree,boarding,fracture,engagement,clever,colic,arctic,,,
heretic,ventilation,disagreeable,boiler,fraud,enjoyment,cleverness,collapse,ardent,,,
hernia,view,disagreement,bonnet,freezing,enlightening,climax,collide,area,,,
herpes,villa,disappearance,bonny,fret,entertain,closeness,collision,arena,,,
hijack,vine,disappoint,bookmaker,frightened,entertaining,clothes,colonoscopy,arise,,,
hijacker,vineyard,disappointed,bopper,frightful,enthusiast,clothing,columbine,aristocracy,,,
homicidal,vision,disappointing,boron,frostbite,enthusiastic,clouds,coma,aristocrat,,,
homicide,voice,disappointment,botanical,frustrated,espresso,club,comatose,aristocratic,,,
homophobic,walk,disapproval,botany,frustrating,euphoria,clubhouse,combat,arithmetic,,,
hooligan,walnut,disapprove,bowl,frustration,euphoric,coastline,combative,ark,,,
hornet,willing,disastrous,box,fugitive,excellence,cocktail,communism,arm,,,
horrendous,window,discharge,boysenberry,furious,excellent,cocoa,communist,armada,,,
horrible,woodland,disciplinary,bracket,gambling,excited,coconut,complain,armament,,,
horrid,aardvark,discomfort,bran,gangrene,excitement,coffee,complaint,armchair,,,
horrific,abalone,disconcerting,branch,gangster,exciting,coffeehouse,complicate,armed,,,
horrifying,abbey,discontent,brand,genocide,exhilarated,coin,complication,armor,,,
horror,abide,discourage,bratwurst,germs,extraordinaire,coke,con,armored,,,
hostage,abode,discouraged,breather,ghetto,fabulous,Coke,conceit,armory,,,
hostile,abstain,discouraging,brick,grenade,fancy,college,conceited,armpit,,,
hostility,accordion,discourse,broach,gruesome,fantastic,collie,concubine,army,,,
humiliating,accumulate,discredit,broadside,guillotine,fantasy,color,concussion,aroused,,,
humiliation,acoustics,discrepancy,broccoli,gunboat,fascinate,colored,condemn,arraignment,,,
hungry,acquaintance,discriminate,bromide,gunfight,fascinating,colorful,condemnation,arrange,,,
hurricane,acre,discriminating,brow,gunfire,feast,comedian,confine,arrangement,,,
hurtful,actual,disdainful,brownstone,gunman,female,comedy,confiscate,array,,,
hyperventilate,adder,disgrace,bucket,gunplay,festive,comet,conflict,arrhythmia,,,
hypochondriac,address,disgraceful,bulb,gunpoint,fitness,comfort,conflicting,arrow,,,
hypothermia,adhesive,disgruntled,bulletin,gunshot,flourish,comfortable,confrontation,arsenal,,,
hysterectomy,adjacent,disgust,bullfrog,harass,fortune,comforter,confused,arterial,,,
illegal,adjourn,disgusted,bun,harassment,free,comforting,confusing,artery,,,
illness,adjust,dishonest,bunch,harm,freedom,comfy,confusion,artichoke,,,
imbecile,administration,dishonor,buoy,harsh,freestyle,comic,congestion,article,,,
immoral,administrative,dislike,burr,hatred,friendship,comical,congress,artifact,,,
impeach,admissible,disobedience,bush,hazard,frisky,comics,congressman,artificial,,,
implosion,adrift,disorder,business man,hazmat,fun,commend,conspiracy,artillery,,,
impolite,advertising,disorderly,butler,heart disease,funny,commendable,constipation,artiste,,,
imprisonment,advice,disorientation,buttermilk,heartache,generous,communication,contagion,ascend,,,
incarceration,advisor,disoriented,bystander,heartbreak,genius,companion,contagious,ascendant,,,
incinerator,aesthetic,disown,cabbage,heartbroken,glory,companionship,contaminate,ascending,,,
incompetence,agency,disparage,cabernet,heinous,goodness,compassion,contamination,ascension,,,
inconvenience,agriculture,displace,caboose,hell,happiness,compassionate,contempt,ascertain,,,
incriminate,airtight,displacement,caddie,hellhole,happy,compatibility,contraband,asinine,,,
incriminating,aisle,displeased,calcium,hernia,heroic,compensate,contradict,ask,,,
infectious,ajar,displeasure,calculus,herpes,heroism,compensation,contradictory,asparagus,,,
inferno,albatross,dispute,calendar,hijack,hilarious,complement,controlling,aspect,,,
infestation,albino,disqualify,call,hijacker,hire,complete,controversy,asphalt,,,
infidelity,alderman,disrespectful,camel,homicidal,honeymoon,completion,convict,aspiration,,,
infuriating,alimony,disrupt,candidacy,homicide,hope,compliment,copycat,aspirin,,,
inhuman,almanac,dissatisfied,cane,homophobic,humor,complimentary,coronary,ass,,,
inhumane,almond,dissection,canister,hooligan,humorous,composer,coroner,assemble,,,
injection,aloof,dissociative,canned,hornet,illuminate,comprehend,corpse,assembly,,,
injure,alphabet,distasteful,canopy,horrendous,imaginative,comprehensive,corrupt,assemblyman,,,
injury,alphabetical,distort,canteen,horrid,incredible,computer,corruption,assert,,,
injustice,altar boy,distortion,canvas,horrific,independence,computerized,costly,assertive,,,
insane,alumnus,distract,canvass,horrifying,independent,comrade,cough,assess,,,
insanity,ambient,distress,cap,horror,individuality,concentrate,counterfeit,assessment,,,
insolent,amend,distrust,capital,hostage,innovation,concert,court,assign,,,
insubordination,ample,disturb,capitalist,humiliating,inspire,condo,courtroom,assignment,,,
insult,analyst,ditch,card,humiliation,inspired,confidant,coward,assimilate,,,
interrogation,anesthetic,diva,cardboard,hurricane,intelligence,confidence,cowardice,assist,,,
intimidate,angle,divorcee,cardigan,hurtful,intelligent,confident,cowardly,assistance,,,
intolerable,angora,dizziness,careful,hyperventilate,internet,congrats,crabby,assistant,,,
intolerance,ankle,dizzy,cargo,hypochondriac,intimacy,congratulation,crack,associate,,,
intrude,annals,domination,carpenter,hypothermia,intimate,congratulations,crackpot,association,,,
intruder,anonymity,doubt,carpet,hysterectomy,invent,connect,cramp,assorted,,,
intrusive,ant,douche,carpeting,illness,jazz,consciousness,cranky,assortment,,,
invade,antenna,downfall,carpool,imbecile,jolly,consent,crap,assume,,,
invader,anthropologist,downside,carriage,immoral,joy,consider,crappy,assumption,,,
invasion,anthropology,drag,carrier,implosion,joyful,considerate,crash,assurance,,,
invasive,antiseptic,dread,cart,impolite,joyous,consideration,crass,assure,,,
irrational,apartments,dreaded,carte,imprisonment,jubilee,consistent,crazed,asterisk,,,
irritable,apparent,dreadful,cartridge,incarceration,justice,console,creep,asteroid,,,
irritate,appear,dreary,casing,incinerator,kiss,consoled,creeper,astonish,,,
irritation,appendix,dredge,casserole,incompetence,laugh,content,creepy,astound,,,
jailbreak,appliance,drone,catalog,inconvenience,laughter,contentment,crime,astral,,,
jealous,apply,dropout,catcher,incriminate,launch,contribution,criminal,astrology,,,
jealousy,apron,drought,category,incriminating,legend,convenience,cringe,astronomer,,,
jeering,arch,drug dealing,caterpillar,infectious,legendary,convenient,cripple,astronomy,,,
jeopardize,architect,drunkard,cattle,inferno,liberating,conversation,crippling,astute,,,
jerk,area,drunken,cauliflower,infestation,lively,convertible,crisis,atheist,,,
jihad,aristocratic,dubious,cedar,infidelity,lovable,cook,criticize,athlete,,,
kidnap,armada,dud,ceiling,inhuman,loved,cookbook,croak,athletics,,,
kidnapper,armchair,dummy,celibacy,inhumane,lovemaking,cookie,crocodile,atlas,,,
kidnapping,armor,dump,cellar,injection,lover,cooking,crook,atmosphere,,,
kill,arrangement,dumpster,celluloid,injure,mastery,cookout,crooked,atmospheric,,,
killer,artiste,dunce,cement,injury,mate,cool,crowded,atoll,,,
killing,ascendant,duress,centennial,injustice,matrimony,cooperate,crucifixion,atom,,,
king snake,ascertain,dust,center,insane,mighty,cooperation,crucify,atomic,,,
laceration,asparagus,dysentery,century,insanity,mindful,cooperative,crude,atone,,,
larceny,asphalt,dysfunction,ceramics,insolent,money,coral,cruel,atrium,,,
late,assemblyman,dysfunctional,chair,insubordination,motivational,cordial,cruelty,attach,,,
laughingstock,assessment,ejection,chalk,insult,music,cordless,crushed,attachment,,,
lawsuit,associate,embezzlement,changer,interrogation,nintendo,cornbread,crutch,attain,,,
leakage,assurance,embolism,channel,intolerable,opportunity,cornflakes,cry,attempt,,,
lesion,assure,emphysema,chant,intolerance,overcome,correct,crybaby,attempted,,,
lethal,asterisk,endanger,chap,intrude,overjoyed,correspondence,crypt,attend,,,
leukemia,astute,endangerment,chaperon,intruder,passion,cosmic,cuckold,attendance,,,
liar,atlas,enema,charcoal,invader,passionate,cosmos,culprit,attendant,,,
lice,attachment,entrails,chart,invasion,paycheck,cottage,cult,attest,,,
livid,attain,envious,checkers,invasive,perfection,couch,cunt,attic,,,
loathe,attendant,envy,cherub,irrational,playful,countryside,curse,attire,,,
lobotomy,author,epidural,chess,irritable,pleasing,couple,cutoff,attitude,,,
lose,autobiography,epilepsy,chicken,jealousy,pleasurable,courage,cutthroat,attribute,,,
loss,avenue,epileptic,chief,jeopardize,pleasure,courageous,cyanide,auburn,,,
lost,average,err,chill,jihad,positive,courteous,cyclone,auction,,,
loudmouth,await,erratic,chimney,kidnap,powerful,courtesy,cynic,auctioneer,,,
lovesick,awning,error,chip,kidnapper,praise,cozy,cynical,audacious,,,
lunatic,axle,estranged,choir,kidnapping,prestigious,crackerjack,cynicism,audacity,,,
mad,back,eulogy,chord,kill,pretty,craft,cyst,audible,,,
madhouse,backdrop,evasion,christen,king snake,priceless,craftsman,cystic,audience,,,
madman,backgammon,evasive,chromium,laceration,prize,craftsmanship,damage,audition,,,
madness,backtrack,evict,chug,late,prosperity,cranberry,damnation,auditorium,,,
mafia,backwoods,eviction,chute,laughingstock,prosperous,cream,dandruff,auditory,,,
maggot,bagman,ex,cilantro,lawsuit,proud,creamy,danger,auntie,,,
malpractice,baldy,exclude,cinch,leakage,puppy,create,dangerous,auspicious,,,
manhunt,bale,excrement,circumference,lesion,qualify,creation,darkened,authenticate,,,
maniac,ballpoint,exhaustion,civil,leukemia,rejoice,creative,dead,author,,,
maniacal,bamboo,exhumation,civility,lice,reward,creativity,deadbeat,authority,,,
manslaughter,bandanna,expel,clarification,lobotomy,rewarding,creator,deadline,authorization,,,
massacre,banister,expiration,clarify,lost,rhythm,credibility,deadly,authorize,,,
mayhem,barber,expire,clarinet,lovesick,rich,credible,deaf,auto,,,
meanness,barbershop,expulsion,clemency,lunatic,romantic,crepe,deafening,autobiographical,,,
meningitis,bard,extinct,clergy,madhouse,satisfy,crib,death,autobiography,,,
minefield,barge,extinction,cleric,madman,scholarly,croissant,deathbed,autograph,,,
miscarriage,barium,extort,clerical,madness,score,crossword,deathly,autographed,,,
misdemeanor,barnyard,extortion,click,mafia,seduce,cruise,debilitating,automated,,,
missile,barometer,extradition,client,maggot,sensational,cruise ship,debt,automatic,,,
mobster,barrister,faceless,clinic,manhunt,sensual,crystal,decaf,automobile,,,
molest,base,failure,clip,maniac,sensuality,cub,decay,automotive,,,
monster,baseball,faithless,cloakroom,maniacal,sex,cucumber,decaying,autonomy,,,
monstrous,baseline,faker,closure,manslaughter,sexual,cuddle,deceased,autopilot,,,
mooch,basic,fallout,cloth,massacre,shindig,cuisine,deceit,auxiliary,,,
morbid,basics,farewell,cloud,mayhem,smooch,cultural,deceitful,avail,,,
mosquito,basin,fascism,clover,meningitis,snazzy,cupcake,deceive,availability,,,
motherfucker,basis,fascist,clump,minefield,snuggle,curator,deception,avalanche,,,
mugger,basket,fat,coachman,miscarriage,soulful,cure,deceptive,avenge,,,
multiple sclerosis,batch,fathead,coal,misdemeanor,souvenir,curiosity,decline,avenging,,,
murder,bathing,fatigued,cobbler,missile,speed,curious,decompose,avenue,,,
